,tp,tn,fp,fn,precision,recall,specificity,accuracy,f1_score,balanced_accuracy,num_feat_missing,imputed,dataset,source,scenario,random_state,metric
10,54,15,125,6,30.17,90.0,10.71,34.5,45.19,50.36,10,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
11,55,21,119,5,31.61,91.67,15.0,38.0,47.01,53.33,11,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
12,53,26,114,7,31.74,88.33,18.57,39.5,46.7,53.45,12,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
13,59,5,135,1,30.41,98.33,3.57,32.0,46.46,50.95,13,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
14,59,5,135,1,30.41,98.33,3.57,32.0,46.46,50.95,14,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Other_installment_plans_none', 'Other_installment_plans_stores'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
15,59,6,134,1,30.57,98.33,4.29,32.5,46.64,51.31,15,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Number_of_existing_credits_at_this_bank'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
16,57,7,133,3,30.0,95.0,5.0,32.0,45.6,50.0,16,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Number_of_existing_credits_at_this_bank', 'Housing_own', 'Housing_rent'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
17,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,17,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Number_of_existing_credits_at_this_bank', 'Housing_own', 'Housing_rent', 'Telephone_yes'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
18,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,18,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Number_of_existing_credits_at_this_bank', 'Housing_own', 'Housing_rent', 'Telephone_yes', 'Age'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
19,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,19,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Number_of_existing_credits_at_this_bank', 'Housing_own', 'Housing_rent', 'Telephone_yes', 'Age', 'Number_of_people_being_liable_to_provide_maintenance_for'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
20,60,0,140,0,30.0,100.0,0.0,30.0,46.15,50.0,20,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Credit_amount', 'Credit_history_critical account or other credits existing', 'Credit_history_delay in paying off in the past', 'Credit_history_existing credits paid back duly till now', 'Credit_history_no credits taken or all credits paid back duly', 'Foreign_worker_yes', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Property_car or other', 'Property_real estate', 'Property_unknown or no property', 'Installment_rate_in_percentage_of_disposable_income', 'Duration', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident', 'Personal_status_and_sex_male divorced or separated', 'Personal_status_and_sex_male married or widowed', 'Personal_status_and_sex_male single', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Other_installment_plans_none', 'Other_installment_plans_stores', 'Number_of_existing_credits_at_this_bank', 'Housing_own', 'Housing_rent', 'Telephone_yes', 'Age', 'Number_of_people_being_liable_to_provide_maintenance_for', 'Present_residence_since'] imputed",lr_perf,German Credit,Scenario 1: standard,2024,f1 score
21,40,97,43,20,48.19,66.67,69.29,68.5,55.94,67.98,0,,svm_perf,German Credit,Scenario 1: standard,2024,f1 score
22,46,81,59,14,43.81,76.67,57.86,63.5,55.76,67.26,1,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account'] imputed",svm_perf,German Credit,Scenario 1: standard,2024,f1 score
23,52,65,75,8,40.94,86.67,46.43,58.5,55.61,66.55,2,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account'] imputed",svm_perf,German Credit,Scenario 1: standard,2024,f1 score
24,52,65,75,8,40.94,86.67,46.43,58.5,55.61,66.55,3,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none'] imputed",svm_perf,German Credit,Scenario 1: standard,2024,f1 score
25,56,54,86,4,39.44,93.33,38.57,55.0,55.45,65.95,4,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed'] imputed",svm_perf,German Credit,Scenario 1: standard,2024,f1 score
26,55,43,97,5,36.18,91.67,30.71,49.0,51.89,61.19,5,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining'] imputed",svm_perf,German Credit,Scenario 1: standard,2024,f1 score
27,54,49,91,6,37.24,90.0,35.0,51.5,52.68,62.5,6,"['Status_of_existing_checking_account_greater or equal to 200 DM or salary assignments', 'Status_of_existing_checking_account_less than 0 DM', 'Status_of_existing_checking_account_no checking account', 'Savings_account_bonds_from 500 to 1000 DM', 'Savings_account_bonds_greater or equal to 1000 DM', 'Savings_account_bonds_less than 100 DM', 'Savings_account_bonds_unknown/no savings account', 'Other_debtors_guarantors_guarantor', 'Other_debtors_guarantors_none', 'Present_employment_since_from 4 to 7 years', 'Present_employment_since_greater or equal to 7 years', 'Present_employment_since_less than 1 year', 'Present_employment_since_unemployed', 'Purpose_car new', 'Purpose_car used', 'Purpose_domestic appliances', 'Purpose_education', 'Purpose_furniture or equipment', 'Purpose_others', 'Purpose_radio or television', 'Purpose_repairs', 'Purpose_retraining', 'Job_skilled employee or official', 'Job_unemployed or unskilled - non-resident', 'Job_unskilled - resident'] imputed",svm_perf,German Credit,Scenario 1: standard,2024,f1 score
